Hz,Power
3,84.93705736
3.2,84.53002046
3.4,86.6915398
3.6,91.60519193
3.8,96.02919882
4,99.53120225
4.2,102.2934699
4.4,104.3645962
4.6,105.7933986
4.8,106.6186382
5,106.8893287
5.2,106.7419109
5.4,106.0315324
5.6,104.7756895
5.8,102.9226822
6,100.3735677
6.2,97.0940163
6.4,92.83143686
6.6,87.26988661
6.8,81.47430496
7,79.76147691
7.2,79.73009731
7.4,79.39285799
7.6,79.19903279
7.8,78.94803633
8,78.60743123
8.2,78.45053912
8.4,79.51937194
8.6,82.73195571
8.8,86.83717545
9,90.33815542
9.2,93.22573508
9.4,95.34711999
9.6,96.83068772
9.8,97.73380503
10,98.10754924
10.2,98.0472777
10.4,97.42044426
10.6,96.21539802
10.8,94.41299659
11,91.95579112
11.2,88.85558938
11.4,84.80786189
11.6,80.05957736
11.8,76.42027737
12,75.47769724
12.2,75.35621685
12.4,75.2016686
12.6,75.18703473
12.8,74.96623847
13,74.64888955
13.2,74.70687431
13.4,74.96126688
13.6,75.57883113
13.8,76.71875256
14,78.82167239
14.2,81.25457826
14.4,83.32398532
14.6,84.86140607
14.8,85.82118833
15,86.23752348
3,83.41943927
3.2,83.59850684
3.4,83.41933135
3.6,83.07878428
3.8,82.75494547
4,81.9073202
4.2,82.98843713
4.4,86.75252386
4.6,92.49713702
4.8,97.0273731
5,99.89052817
5.2,103.2562712
5.4,105.3163414
5.6,106.7160652
5.8,107.5192923
6,107.1436253
6.2,107.6381835
6.4,106.9457827
6.6,105.6222445
6.8,103.6357832
7,100.3083218
7.2,97.62276006
7.4,93.23061565
7.6,87.41256214
7.8,81.40569419
8,78.29332883
8.2,78.57196936
8.4,78.43945067
8.6,78.16438629
8.8,77.87311755
9,76.86647477
9.2,77.62560159
9.4,77.74462811
9.6,77.70944288
9.8,77.37790008
10,76.47187446
10.2,77.60689229
10.4,79.3266579
10.6,83.19053609
10.8,87.69597756
11,90.55166027
11.2,94.18090634
11.4,96.36271856
11.6,97.84843496
11.8,98.70188055
12,98.2730001
12.2,98.8932862
12.4,98.25900588
12.6,97.01638023
12.8,95.12417592
13,91.81516742
13.2,89.28566535
13.4,85.00306606
13.6,79.66251498
13.8,75.85054941
14,74.37590193
14.2,75.12791035
14.4,75.04799781
14.6,74.87792777
14.8,74.49409596
15,73.66091587
3,84.0648789
3.2,83.64681056
3.4,83.10959809
3.6,82.67653408
3.8,82.23458212
4,81.67673078
4.2,81.78224908
4.4,81.74346846
4.6,81.72214005
4.8,81.6170207
5,81.08970001
5.2,81.98637564
5.4,86.68196323
5.6,92.84329278
5.8,97.55380731
6,100.9541941
6.2,103.9535395
6.4,106.0159945
6.6,107.4313667
6.8,108.2510829
7,108.2949709
7.2,108.2633023
7.4,107.4550697
7.6,106.0460524
7.8,103.9913729
8,100.9997806
8.2,97.62492366
8.4,92.93511908
8.6,86.57918563
8.8,79.9160056
9,77.79669186
9.2,78.10573902
9.4,77.7538571
9.6,77.40092342
9.8,77.24445664
10,76.71252647
10.2,76.94031513
10.4,77.10553292
10.6,76.92352685
10.8,76.50582398
11,75.69366476
11.2,75.82328207
11.4,75.95775343
11.6,75.90431428
11.8,75.83921775
12,75.55404234
12.2,76.39653248
12.4,79.10106767
12.6,83.93623031
12.8,88.56565703
13,91.95473918
13.2,95.01959348
13.4,97.10788296
13.6,98.53677992
13.8,99.36050821
14,99.38018546
14.2,99.3954718
14.4,98.61091273
14.6,97.22335137
14.8,95.17762808
15,92.14999067
3,89.95264077
3.2,89.48516451
3.4,89.06927703
3.6,88.70817842
3.8,88.34909602
4,87.89931188
4.2,87.6415509
4.4,87.68158369
4.6,87.72050064
4.8,87.63551229
5,87.42838435
5.2,87.35208821
5.4,87.39528402
5.6,87.50315549
5.8,87.53365206
6,87.60627733
6.2,88.12251403
6.4,90.21331272
6.6,93.76301067
6.8,97.14010573
7,100.1150995
7.2,102.6585103
7.4,104.6874286
7.6,106.1582899
7.8,107.0615602
8,107.4051885
8.2,107.1983925
8.4,106.4324802
8.6,105.0767194
8.8,103.0857907
9,100.5509372
9.2,97.40527456
9.4,93.56079896
9.6,89.04198803
9.8,84.83127294
10,82.82645812
10.2,82.66323133
10.4,82.46224444
10.6,82.17214166
10.8,82.03682168
11,81.84763143
11.2,81.66610185
11.4,81.6468529
11.6,81.5405806
11.8,81.2326068
12,80.93733719
12.2,80.77911466
12.4,80.73753533
12.6,80.62259264
12.8,80.40831611
13,80.34144867
13.2,80.2809545
13.4,80.24933083
13.6,79.95978653
13.8,79.72582192
14,79.65895897
14.2,79.89853527
14.4,81.73407965
14.6,84.94893959
14.8,88.49560868
15,91.58099244
3,93.27202487
3.2,93.42102124
3.4,93.13305461
3.6,92.88325549
3.8,92.52304573
4,91.18205916
4.2,91.79675625
4.4,91.52730333
4.6,91.27835692
4.8,90.93369186
5,89.89170753
5.2,90.80794
5.4,90.79743108
5.6,90.74894229
5.8,90.60961566
6,89.34477773
6.2,90.15677255
6.4,90.02526661
6.6,89.835232
6.8,89.64872527
7,88.47186707
7.2,89.92589945
7.4,91.75177477
7.6,94.26391881
7.8,96.89022877
8,98.32558756
8.2,101.6603777
8.4,103.5179006
8.6,104.7674265
8.8,105.4018032
9,104.5046632
9.2,105.4443881
9.4,104.8199627
9.6,103.6443777
9.8,101.882292
10,98.56101965
10.2,97.29531824
10.4,94.59277906
10.6,91.72955994
10.8,88.61757223
11,86.25014867
11.2,87.10713039
11.4,86.77185814
11.6,86.41552342
11.8,86.01019445
12,84.57081992
12.2,85.65161827
12.4,85.66916105
12.6,85.42728612
12.8,84.87473946
13,83.18414164
13.2,84.01305009
13.4,83.99059498
13.6,83.8067426
13.8,83.49430401
14,82.0320148
14.2,83.29515697
14.4,83.38282968
14.6,83.3505983
14.8,83.01378778
15,81.52720526
3,85.16381666
3.2,84.89767366
3.4,84.53449746
3.6,84.17422112
3.8,83.84025591
4,83.18278292
4.2,83.1270188
4.4,82.94074852
4.6,82.82431345
4.8,82.6629646
5,82.13732521
5.2,82.52172828
5.4,82.57458399
5.6,82.50900386
5.8,82.23692949
6,81.49112773
6.2,81.71043287
6.4,81.43218578
6.6,81.01161768
6.8,80.59546025
7,80.16034981
7.2,80.59590591
7.4,80.54617705
7.6,80.33982465
7.8,80.15644457
8,80.02615067
8.2,83.1776088
8.4,88.93717275
8.6,94.08112989
8.8,98.18674723
9,101.0871729
9.2,103.9125716
9.4,105.7511443
9.6,106.9622045
9.8,107.5794397
10,107.3422658
10.2,107.2692789
10.4,106.3122133
10.6,104.7324547
10.8,102.467262
11,99.15335637
11.2,95.68739879
11.4,90.74589715
11.6,84.16650288
11.8,77.56796988
12,76.40041866
12.2,76.64425392
12.4,76.25120478
12.6,76.07643806
12.8,75.80761781
13,75.50211454
13.2,75.89404961
13.4,75.86879597
13.6,75.70791214
13.8,75.32867756
14,74.83745863
14.2,75.497607
14.4,75.74399363
14.6,75.70123634
14.8,75.31980029
15,75.09269635
3,84.68715689
3.2,84.10276396
3.4,83.51712069
3.6,83.00856597
3.8,82.57402276
4,82.28974912
4.2,82.20631267
4.4,82.10325243
4.6,81.90540066
4.8,81.61590278
5,81.4247199
5.2,81.29044952
5.4,81.16849596
5.6,81.16348967
5.8,81.05434077
6,81.01622296
6.2,80.9510215
6.4,80.80779492
6.6,80.54801123
6.8,80.27197193
7,80.07621039
7.2,79.87390469
7.4,79.72290524
7.6,79.34213917
7.8,78.95174828
8,78.62781166
8.2,78.42349788
8.4,78.26475623
8.6,78.31720037
8.8,78.25784957
9,78.20049331
9.2,81.27395662
9.4,88.13240917
9.6,93.67697845
9.8,97.99009665
10,101.2842981
10.2,103.8049117
10.4,105.6274839
10.6,106.8411247
10.8,107.4803025
11,107.5625774
11.2,107.09148
11.4,106.0526827
11.6,104.4109912
11.8,102.103826
12,99.02860255
12.2,95.01472943
12.4,89.7783915
12.6,82.75883971
12.8,76.53921571
13,75.79009444
13.2,75.82045203
13.4,75.46954943
13.6,75.27656519
13.8,75.26143752
14,75.21703788
14.2,75.42481819
14.4,75.65527386
14.6,75.58432216
14.8,75.39410773
15,75.28427038
3,83.59937749
3.2,83.34019755
3.4,82.8916019
3.6,82.48068847
3.8,82.18915618
4,81.73672999
4.2,81.81202849
4.4,81.52658057
4.6,81.29021086
4.8,80.92243292
5,80.31698692
5.2,80.28693041
5.4,80.11585228
5.6,79.9152149
5.8,79.73507026
6,79.3483684
6.2,79.62700451
6.4,79.72345757
6.6,79.7418639
6.8,79.60248078
7,79.25331165
7.2,79.49541747
7.4,79.41610955
7.6,79.20204984
7.8,78.89340241
8,78.25748931
8.2,78.47721984
8.4,78.5713673
8.6,78.66164892
8.8,78.56905411
9,78.11957526
9.2,78.48066706
9.4,78.42094663
9.6,78.11617589
9.8,77.86445916
10,77.40361445
10.2,78.49859326
10.4,83.81818289
10.6,90.25744962
10.8,95.12409906
11,98.53464265
11.2,101.7516739
11.4,103.9194564
11.6,105.4223517
11.8,106.3166595
12,106.3339431
12.2,106.493044
12.4,105.7794659
12.6,104.4705206
12.8,102.5191288
13,99.53620133
13.2,96.40520509
13.4,91.89376289
13.6,85.90040902
13.8,78.83209825
14,75.70331074
14.2,75.87646836
14.4,75.69027702
14.6,75.48338564
14.8,75.21664193
15,74.67462711
